Log File Created
Initialization successfull
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
MeshWidth : 512  	 Mesh Height: 512
Log File Closed
